24042;52;30;20;140
23069;50;24;18;140
22738;51;24;19;140
21611;58;35;12;135
60167;51;33;18;135
28004;46;24;17;130
22567;51;29;15;125
23311;51;25;19;140
28092;52;33;17;145
22298;54;32;16;135
21583;51;27;15;130
60523;53;34;16;140
29192;49;26;16;140
28239;51;23;17;140
26894;51;29;17;125
21534;56;49;15;145
61341;53;39;15;135
60350;52;31;14;140
27057;51;42;21;148
27054;51;41;21;148
60013;51;29;17;135
60336;53;32;15;135
60337;54;34;14;140
60566;52;32;16;140
24042;52;30;20;140
23069;50;24;18;140
22738;51;24;19;140
21611;58;35;12;135
60167;51;33;18;135
28004;46;24;17;130
22567;51;29;15;125
23311;51;25;19;140
28092;52;33;17;145
22298;54;32;16;135
21583;51;27;15;130
60523;53;34;16;140
29192;49;26;16;140
28239;51;23;17;140
26894;51;29;17;125
21534;56;49;15;145
61341;53;39;15;135
60350;52;31;14;140
27057;51;42;21;148
27054;51;41;21;148
60013;51;29;17;135
60336;53;32;15;135
60337;54;34;14;140
60566;52;32;16;140
27266;56;30;15;140
24069;47;26;17;125
26642;49;23;17;135
22958;56;44;14;145
28240;54;29;18;135
60595;54;35;17;135
60569;52;39;15;135
22409;53;26;17;135
60351;56;43;13;140
60366;53;40;14;135
27047;48;40;19;145
27069;48;43;23;145
23000;53;29;14;130
28140;53;28;16;135
60345;52;32;16;140
27559;52;28;15;135
60647;53;35;16;135
24054;50;35;20;145
60771;54;30;15;135
21076;54;31;14;125
20959;54;35;15;140
29188;53;29;16;135
22949;49;33;13;125
60245;56;33;16;140
24678;53;28;16;145
22220;52;38;18;145
21370;54;33;15;140
21371;51;33;15;140
21489;53;40;17;135
60349;52;31;14;140
60352;55;37;12;145
27027;53;36;17;148
27650;56;41;18;145
22701;54;32;16;130
21689;50;29;16;140
60564;52;30;15;140
22919;53;31;16;135
60646;54;36;14;135
29572;54;35;16;140
21093;52;29;17;140
21109;52;25;18;135
22108;54;25;17;135
22275;52;30;17;140
61579;47;39;18;135
28971;50;27;16;135
28303;50;29;14;140
29371;45;26;19;130
22457;49;33;20;140
29279;47;27;16;135
60164;52;30;16;135
60353;53;44;17;140
22043;52;28;17;135
28324;53;25;16;145
22703;54;27;15;135
23209;52;36;18;145
22692;50;26;16;140
61222;53;36;17;135
28614;50;39;20;140
28003;44;24;16;125
24997;53;28;16;135
21565;53;36;18;140
21667;52;43;18;140
22563;50;27;16;130
28095;53;44;16;145
21588;53;28;18;140
24263;52;37;17;140
61150;52;27;17;140
61764;54;36;18;140
21369;54;33;15;140
21297;55;38;19;145
60613;54;33;14;135
60759;49;25;18;135
61033;51;45;18;140
60572;52;34;16;140
60631;53;40;18;145
60368;51;42;15;130
23779;47;24;16;130
27001;46;41;22;143
27016;54;31;17;142
27060;51;35;17;148
27037;50;38;19;145
21862;51;27;16;135
21164;51;28;17;135
26250;49;29;16;140
22562;50;26;16;130
22444;53;39;17;135
61657;51;32;15;125
60657;54;41;14;140
28256;53;33;16;140
27651;51;32;16;135
21499;51;32;17;140
22029;53;26;17;140
60242;54;32;16;140
28041;53;30;14;140
27704;50;27;14;140
27708;46;38;21;135
60614;52;36;15;135
24485;47;40;19;140
60788;49;24;14;135
61030;54;43;12;140
61362;51;39;17;140
60573;52;34;16;140
21216;52;26;17;140
21518;54;36;16;140
21516;58;49;12;140
22694;51;34;16;135
20968;53;39;18;140
23081;53;27;17;135
22570;51;28;15;130
22406;51;27;19;140
21584;53;26;15;135
22224;49;37;20;140
23040;53;32;16;140
28026;51;30;16;135
22210;52;27;16;135
22963;54;29;17;140
61707;51;45;18;140
60079;53;30;18;140
60370;53;31;16;135
23712;51;35;16;140
28471;53;35;16;140
22998;52;25;17;135
21688;50;29;16;140
60348;53;27;16;140
